trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.75, 'e': 0.9996449359172498}",25,0,-171.93185601441775,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
73,False,"{'a': 0.75, 'e': 0.9996346486747419}",20,0,-90.1345800662635,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
74,False,"{'a': 0.75, 'e': 0.9996240634928902}",25,0,-141.23594705737918,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
75,False,"{'a': 0.75, 'e': 0.9996131717493575}",25,0,-73.39926667551472,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.75, 'e': 0.9996019645726647}",20,0,-143.1509895233661,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
77,False,"{'a': 0.75, 'e': 0.9995904328350139}",25,0,-176.92295618770584,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
78,False,"{'a': 0.75, 'e': 0.9995785671449077}",30,0,-92.44277251546742,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
79,False,"{'a': 0.75, 'e': 0.9995663578395552}",20,0,-169.45744891636946,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
80,False,"{'a': 0.75, 'e': 0.9995537949770634}",20,0,-85.79288436509871,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
81,False,"{'a': 0.75, 'e': 0.9995408683284036}",35,0,-212.43567468715358,"{0: 18, 1: 3, 2: 10, 3: 2, 4: 2}",0
82,False,"{'a': 0.75, 'e': 0.9995275673691488}",20,0,-204.7330420633146,"{0: 6, 1: 6, 2: 4, 3: 1, 4: 3}",0
83,False,"{'a': 0.75, 'e': 0.9995138812709751}",20,0,-136.02024059159766,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
84,False,"{'a': 0.75, 'e': 0.9994997988929205}",30,0,-192.83901153630836,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
85,False,"{'a': 0.75, 'e': 0.9994853087723946}",20,9,-8.371226023180226,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.75, 'e': 0.9994703991159315}",35,0,-141.27847567744342,"{0: 25, 1: 3, 2: 3, 3: 2, 4: 2}",0
87,False,"{'a': 0.75, 'e': 0.9994550577896786}",25,0,-144.62834484639382,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
88,False,"{'a': 0.75, 'e': 0.9994392723096159}",25,0,-83.98992475978311,"{0: 13, 1: 8, 2: 2, 3: 2, 4: 0}",0
89,False,"{'a': 0.75, 'e': 0.9994230298314944}",25,8,-57.39575923924297,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 0}",1
90,False,"{'a': 0.75, 'e': 0.9994063171404907}",25,0,-141.5041887687488,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
91,False,"{'a': 0.75, 'e': 0.9993891206405656}",25,0,-153.66715335252445,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
92,False,"{'a': 0.75, 'e': 0.9993714263435205}",20,0,-96.35643039015181,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
93,False,"{'a': 0.75, 'e': 0.9993532198577426}",25,0,-156.26512410118264,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
94,False,"{'a': 0.75, 'e': 0.9993344863766315}",20,0,-149.0858014150391,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
95,False,"{'a': 0.75, 'e': 0.9993152106666947}",20,0,-138.02999660871842,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
96,False,"{'a': 0.75, 'e': 0.9992953770553095}",25,0,-85.49168398038012,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
97,False,"{'a': 0.75, 'e': 0.9992749694181341}",20,0,-44.140759203792356,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
98,False,"{'a': 0.75, 'e': 0.9992539711661633}",25,9,-39.796889515835915,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
