trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
734,False,"{'a': 0.75, 'e': 0.10460461516873039}",20,8,-0.513674154228382,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
735,False,"{'a': 0.75, 'e': 0.10261537950852166}",30,11,-16.65250351050875,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
736,False,"{'a': 0.75, 'e': 0.10062573338693173}",25,6,19.888850523603953,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.75, 'e': 0.0986356847625424}",25,16,13.62154428942491,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.75, 'e': 0.09664524159554555}",20,7,7.7995368609843325,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.75, 'e': 0.09465441184771117}",20,11,16.317781346437698,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.75, 'e': 0.09266320348235561}",25,13,26.320002841128918,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.75, 'e': 0.09067162446430968}",20,5,27.691059661538944,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.75, 'e': 0.08867968275988677}",20,0,7.304222961123832,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
743,False,"{'a': 0.75, 'e': 0.08668738633685107}",30,13,25.30041010779047,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.75, 'e': 0.0846947431643856}",20,8,18.620075985614406,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.75, 'e': 0.0827017612130604}",20,12,1.1664833854490049,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
746,False,"{'a': 0.75, 'e': 0.08070844845480063}",20,13,14.901883704795878,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.75, 'e': 0.07871481286285463}",20,10,18.847544442474184,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.75, 'e': 0.07672086241176215}",20,11,16.225527464727794,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.75, 'e': 0.0747266050773223}",25,20,9.680289446738023,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.75, 'e': 0.0727320488365618}",20,14,11.162214284362872,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
751,False,"{'a': 0.75, 'e': 0.0707372016677029}",20,16,9.191962992549431,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.75, 'e': 0.06874207155013168}",30,0,40.44182496901771,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
753,False,"{'a': 0.75, 'e': 0.06674666646436589}",25,17,13.112345300398218,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
754,False,"{'a': 0.75, 'e': 0.06475099439202324}",30,6,21.70241732864235,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
755,False,"{'a': 0.75, 'e': 0.06275506331578937}",20,15,11.721861747059759,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.75, 'e': 0.0607588812193859}",30,16,26.813843273660893,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
757,False,"{'a': 0.75, 'e': 0.058762456087538564}",20,12,13.581951750799181,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
758,False,"{'a': 0.75, 'e': 0.05676579590594523}",20,2,26.97617477802516,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,False,"{'a': 0.75, 'e': 0.05476890866124396}",25,10,-10.006639098604253,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
760,False,"{'a': 0.75, 'e': 0.05277180234098107}",25,13,-25.199561944148783,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
761,False,"{'a': 0.75, 'e': 0.05077448493357918}",20,9,11.362014751970177,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
762,False,"{'a': 0.75, 'e': 0.04877696442830525}",30,8,42.77141151370049,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,False,"{'a': 0.75, 'e': 0.04677924881523865}",20,16,10.375000761584381,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
764,False,"{'a': 0.75, 'e': 0.044781346085239156}",20,12,13.150741354216953,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,False,"{'a': 0.75, 'e': 0.04278326422991503}",25,19,10.155594585509027,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,False,"{'a': 0.75, 'e': 0.040785011241591035}",30,19,18.797493071171317,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.75, 'e': 0.038786595113276444}",25,19,11.34372580364391,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.75, 'e': 0.036788023838633124}",20,13,12.94346134463597,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,False,"{'a': 0.75, 'e': 0.03478930541194349}",20,5,29.854690022235054,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
